APP_CODE,DEST_ID,SUB_DEST_ID,ORDER_MGMT_SYS_CODE,SALES_BUS_LINE_ID,SALES_BUS_DIVISION,MS_DEST_ID,ISSUE_TYPE_CODE,SALES_CAPTURE_METHOD_CODE,10
NV,,4,FIX_BXS,CLSITTRD,,CITADEL,STOCK,,18
SORT,CDRG,,CARBON,FIDSPG,FID,CITGCT,ETF,FIX,2
Yukon,CME,,,,,CME,OPTION,,202
SORT,CME,,,FX,FX,CMEXY,FUTURE,,494
SORT,CPK,,FIX_SWAP,CLSITTRD,,CPK,ETF,FIX,69
SORT,C2OX,,CG_DMA,CLSITTRD,,CTWO,OPTION,,421616
NV,AQUIS,,FIX_SWAP,CLSITTRD,,DKAQX,ADR,,572
RBE,AQUIS,,CG_DMA,CLSITTRD,,DKAQX,FUND,,10
RBE,AQUIS,,FIX_BXS,CLSITTRD,,DKAQX,ADR,,88
MMETL,MMETL,,FIX_DMA,CLSITTRD,,77MMRTRCD1_NYPMM59_MMTRADER2,FUND,FIX,8
MMETL,MMETL,,CG_DMA,CLSITTRD,,77MMRTRCD1_NYPMM61_MMTRADER5,STOCK,FIX,1
MMETL,MMETL,,FIX_DMA,CLSITTRD,,77MMRTRCD1_NYPMM62_MMTRADER4,ETF,FIX,201
MMETL,MMETL,,CARBON,CORE,IED,77MMRTRINST1_NYPMM71_MMLISTED4,ADR,Phone,2
MMETL,MMETL,,CARBON,CORE,IED,77MMRTRINST1_NYPMM73_MMLISTED1,ADR,FIX,5
MMETL,MMETL,,FIX_DMA,CLSITTRD,,78MMRTRCD1_NYPMM59_MMTRADER5,STOCK,FIX,2743
MMETL,MMETL,,CG_DMA,CLSITTRD,,78MMRTRCD1_NYPMM62_MMTRADER5,STOCK,FIX,3
MMETL,MMETL,,FIX_DMA,CLSITTRD,,78MMRTRCD1_NYPMM64_MMTRADER3,ADR,FIX,25
MMETL,MMETL,,CG_SWAP,CLSITTRD,,78MMRTRMVEA1_NYPMM66_MMTRADER5,ADR,,10
